Consumption;Temperature
521465100;4.903225806
461465218;5.620689655
382921070;8.548387097
241680214;12.4
120401074;16.64516129
89354950;21.3
80428831;24.06451613
79763902;23.70967742
91012641;21.43333333
120895431;17.61290323
318058294;12
492205178;8.387096774
551547920;6.741935484
551886440;5.857142857
513182950;7.225806452
281495382;12.56666667
138625166;17.22580645
102002208;20.8
92769403;25.03225806
94902749;25.67741935
104878472;21.33333333
234224583;15.12903226
477975400;10.16666667
574271361;8.193548387
738599422;4.032258065
634334634;5.25
539151598;8.161290323
297616738;12.76666667
197445668;17.29032258
114977885;22.5
107345413;24.41935484
103349699;26.93548387
115327332;20.93333333
184214668;17.29032258
488834066;10.56666667
605630038;7.64516129
601698304;8.35483871
564911766;7.678571429
555304460;9.548387097
355753096;11.86666667
150842359;19.51612903
116906435;24.76666667
102426780;26.22580645
102161524;26.70967742
112774512;21.5
181389507;17.74193548
497284507;10.63333333
708464543;6.935483871
824846367;4.580645161
705064603;6.103448276
448376357;11.06451613
281115575;14.43333333
174892591;17.5483871
117594645;23.2
109810891;24.83870968
102837804;26.51612903
117424465;21.06666667
179355823;17.12903226
340077648;12.86666667
546779239;8.935483871
639949912;7.161290323
584272459;7.071428571
573785273;8.387096774
337160667;12.03333333
149736202;18
104935448;23.4
96740196;26.09677419
99199654;24.80645161
105704561;20.93333333
144589492;17.77419355
359080257;12.26666667
555541373;9.903225806
732872386;6.612903226
600982014;8.071428571
602013921;8.580645161
312335421;13.5
153744359;18.93548387
118368846;22.56666667
109651749;25.4516129
103098796;28.35483871
108465548;22.13333333
280005578;15.51612903
265939397;15.66666667
601361364;10.32258065
798281630;6.290322581
752811040;6.25
735564427;7.774193548
577153735;10.13333333
251099496;16.74193548
134033506;22.03333333
117420334;26.51612903
115326848;25.09677419
122479811;23.6
346093304;15.16129032
674926613;9.2
746654647;8.806451613
982092486;3.935483871
973307075;4.068965517
775704724;7.838709677
312896551;14.4
174450577;18.09677419
134955713;24.53333333
123577758;27.7
115213114;26.58064516
134476810;22.8
150404011;20.12903226
365187039;14.76666667
801444243;7.806451613
874461263;6.483870968
719191758;8.428571429
649230040;9.967741935
377056221;13.8
177792468;20.06451613
145907244;23.36666667
142890312;25.58064516
124918520;27.03225806
151027105;21.6
306262624;15.12903226
433509642;13.93333333
922294388;6.838709677
775846072;8.806451613
701236978;8.571428571
634104456;10.74193548
368943261;14.2
230694234;18.35483871
159613451;22.3
135786984;26
135604074;26.67741935
161669601;21.63333333
266326288;17
575978223;12.1
798087152;9.870967742
992766288;6.741935484
873079882;7.178571429
821818829;9.387096774
538729565;11.63333333
210921846;19.09677419
175088772;21.93333333
150801367;26.09677419
152060248;27.38709677
153232346;24.13333333
286509337;17.35483871
